Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
6,0.3,1091,65,10000
6,0.351,1095,70,10000
6,0.315,1064,65,10000
6,0.36,1093,74,10000
6,0.289,1100,67,10000
6,0.342,1098,70,10000
9,0.319,1090,72,10000
5,0.291,1076,60,10000
6,0.325,1095,69,10000
6,0.3,1095,57,10000
9,0.305,1095,63,10000
6,0.331,1097,70,10000
7,0.334,1098,70,10000
6,0.33,1091,69,10000
6,0.242,1093,55,10000
8,0.3,1069,56,10000
6,0.331,1066,68,10000
6,0.353,1099,73,10000
7,0.339,1082,69,10000
6,0.343,1099,66,10000
